单号,area,weight,date,cp,fee
YT6230385737279,北京,3.72,2022-01-03,廊坊中通,5.8
YT9919448538786,山西省,3.72,2022-01-03,廊坊中通,5.3
YT6230258254168,河北省,3.72,2022-01-03,廊坊中通,5.3
YT6230258254257,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9919440170661,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9919440153666,河北省,3.72,2022-01-03,廊坊中通,5.3
YT6230258253864,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9919663880977,黑龙江省,3.72,2022-01-03,廊坊中通,5.3
YT9919679229790,天津,3.72,2022-01-03,廊坊中通,5.3
YT9919679245390,天津,3.72,2022-01-03,廊坊中通,5.3
YT9919679266655,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9919679276737,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9919679242204,北京,3.72,2022-01-03,廊坊中通,5.8
YT9919679266485,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9919679296592,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9919679296990,天津,3.72,2022-01-03,廊坊中通,5.3
YT9919679135548,天津,3.72,2022-01-03,廊坊中通,5.3
YT9919679144817,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9925870516458,天津,3.72,2022-01-03,廊坊中通,5.3
YT9919679016125,河北省,4.55,2022-01-03,廊坊中通,5.3
YT9925870504883,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9925789606055,北京,3.72,2022-01-03,廊坊中通,5.8
YT6231117323623,河北省,3.72,2022-01-03,廊坊中通,5.3
YT9925870534297,山西省,3.72,2022-01-03,廊坊中通,5.3
YT9925870516643,天津,3.72,2022-01-03,廊坊中通,5.3
YT9925870467963,山西省,3.72,2022-01-03,廊坊中通,5.3
YT6230690427122,天津,3.72,2022-01-03,廊坊中通,5.3
YT6233748182826,吉林省,1.2,2022-01-04,廊坊中通,2.9
YT6233718708083,河北省,2.31,2022-01-04,廊坊中通,3.4
YT6232430237020,辽宁省,2.32,2022-01-04,廊坊中通,3.4
YT6232494846554,山西省,2.72,2022-01-04,廊坊中通,3.4
YT6232494845930,山西省,2.77,2022-01-04,廊坊中通,3.4
YT9924983615800,河北省,2.8,2022-01-04,廊坊中通,3.4
YT6232340573321,河北省,2.82,2022-01-04,廊坊中通,3.4
YT6232340573855,河北省,2.82,2022-01-04,廊坊中通,3.4
YT6232392604887,天津,2.87,2022-01-04,廊坊中通,3.4
YT6232404068522,河北省,2.91,2022-01-04,廊坊中通,3.4
YT6232400982366,河北省,2.97,2022-01-04,廊坊中通,3.4
YT6232404067910,天津,3.08,2022-01-04,廊坊中通,5.3
YT6233078961292,河北省,3.13,2022-01-04,廊坊中通,5.3
YT9925221866800,河北省,3.17,2022-01-04,廊坊中通,5.3
YT6233078394457,北京,3.26,2022-01-04,廊坊中通,5.8
YT9924105217033,山西省,3.28,2022-01-04,廊坊中通,5.3
YT6232441704637,辽宁省,3.3,2022-01-04,廊坊中通,5.3
YT9924105214434,山西省,3.33,2022-01-04,廊坊中通,5.3
YT6233230850555,河北省,3.38,2022-01-04,廊坊中通,5.3
YT9924310110037,山西省,3.41,2022-01-04,廊坊中通,5.3
YT9924838675631,辽宁省,3.42,2022-01-04,廊坊中通,5.3
YT6233718707891,北京,3.44,2022-01-04,廊坊中通,5.8
YT6232494846114,山西省,3.45,2022-01-04,廊坊中通,5.3
YT6232494845744,天津,3.49,2022-01-04,廊坊中通,5.3
YT9924838704080,北京,3.49,2022-01-04,廊坊中通,5.8
YT9924105248275,天津,3.5,2022-01-04,廊坊中通,5.3
YT6232494846355,河北省,3.51,2022-01-04,廊坊中通,5.3
YT1414263531700,河北省,3.52,2022-01-04,廊坊中通,5.3
YT9924912384881,山西省,3.53,2022-01-04,廊坊中通,5.3
YT9924838718752,北京,3.54,2022-01-04,廊坊中通,5.8
YT6232491736666,山西省,3.57,2022-01-04,廊坊中通,5.3
YT1414296773674,河北省,3.68,2022-01-04,廊坊中通,5.3
